"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL95764";"GLYPHOSATE";"0";"169.07";"0";"-1.20";"GLYPHOSATE";"O=C(O)CNCP(=O)(O)O";"IC50";"";"";"";"";"";"Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured)";"";"";"";"";"";"False";"CHEMBL1909118";"DRUGMATRIX: Vascular Endothelial Growth Factor (VEGF) radioligand binding (ligand: [125I] VEGF)";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"HUVEC";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3307501";""
"CHEMBL484316";"";"0";"426.39";"0";"1.67";"2, TX-2044";"COC[C@H](Cn1ccnc1[N+](=O)[O-])OC(=O)c1ccc(NC=C2C(=O)C=CC2=O)cc1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL963905";"Inhibition of Flt1 expressed in mouse NIH3T3 cells by autoradiography";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150377";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"CHEMBL3307716";""
"CHEMBL1978567";"";"0";"353.45";"0";"4.01";"SID103904911";"COc1cccc(C(C)NC(=O)c2sc(-c3ccncc3)nc2C)c1";"Ki";"'>'";"3981.07";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1996255";"";"0";"393.40";"1";"5.04";"SID103904301";"Cc1ccc(F)c(NC(=O)Nc2ccc(-c3c(F)ccc4[nH]nc(N)c34)cc2)c1";"Ki";"'='";"0.2512";"nM";"9.60";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1977749";"";"0";"277.32";"0";"4.12";"SID103905602";"C=CCc1cccc2c(=NO)cc(-c3ccccc3)oc12";"Ki";"'>'";"3981.07";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL2000685";"";"0";"708.80";"2";"1.02";"SID103904743";"CC(=NNC(=N)N)c1cc(NC(=O)c2cccc(C(=O)Nc3cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c3)c2)cc(C(C)=NNC(=N)N)c1";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1967544";"";"0";"497.62";"0";"4.67";"SID103905145";"CN(C)c1cccc2c(S(=O)(=O)N(CCN)c3cncc(-c4ccc5cnccc5c4)c3)cccc12";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL223367";"";"0";"431.88";"0";"3.51";"SID103905150";"N#Cc1ncc2nc1OCCCCCOc1cc(CCCO)c(Cl)cc1NC(=O)N2";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1965507";"";"0";"418.48";"0";"4.48";"SID103904355";"Cc1cccc(NC(=O)Nc2ccc(NC(=O)c3csc4ncnc(N)c34)cc2)c1";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL274064";"SB-220025";"0";"338.39";"0";"2.65";"SID103905253";"Nc1nccc(-c2c(-c3ccc(F)cc3)ncn2C2CCNCC2)n1";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL2000071";"";"0";"268.32";"0";"2.42";"SID103904212";"OCCCNc1ncnc2[nH]cc(-c3ccccc3)c12";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL248757";"";"0";"471.93";"0";"4.27";"SID103905151";"N#Cc1ncc2nc1OCCCCOc1cc(NCc3cncs3)c(Cl)cc1NC(=O)N2";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1997051";"";"0";"611.68";"2";"6.86";"SID103904431";"COc1ccc(CN(C)C)cc1Nc1nccc(-c2c(-c3cccc(NC(=O)c4c(F)cccc4F)c3)nc3sccn23)n1";"Ki";"'='";"1258.93";"nM";"5.90";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1996837";"";"0";"210.26";"0";"0.62";"SID103905651";"Cc1nn(C)c2sc(C(N)=O)c(N)c12";"Ki";"'>'";"3981.07";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL404367";"";"0";"372.43";"0";"4.17";"SID103904339";"Cc1cccc(NC(=O)Nc2ccc(-c3cncc4c3c(N)nn4C)cc2)c1";"Ki";"'='";"1.995";"nM";"8.70";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1966343";"";"0";"256.31";"0";"3.00";"SID103904482";"CC(C)Cc1cc(-c2ccc3[nH]nc(N)c3c2)on1";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1973516";"";"0";"439.53";"0";"3.85";"SID103905160";"CCN1CCN(c2ccc(Nc3ncc(C#N)c(Nc4ccc5[nH]ncc5c4)n3)cc2)CC1";"Ki";"'='";"12.59";"nM";"7.90";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1973013";"";"0";"328.24";"0";"3.57";"SID103904935";"Cc1cnc(Nc2nc(NC(C)C)ncc2Br)s1";"Ki";"'>'";"3981.07";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1977138";"";"0";"358.38";"0";"4.00";"SID103904818";"CC(Nc1cncc(-n2cnc3ccc(C#N)cc32)n1)c1ccccc1F";"Ki";"'='";"251.19";"nM";"6.60";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1980329";"";"0";"302.33";"0";"3.88";"SID103905111";"O=C1Nc2cc(-c3ccc(O)cc3)ccc2C1=Cc1ccc[nH]1";"Ki";"'='";"19.95";"nM";"7.70";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1682540";"";"0";"235.25";"0";"2.27";"SID103904528";"c1cnc2nc(-c3ccc4[nH]ncc4c3)cn2c1";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL2002446";"";"0";"458.63";"0";"4.23";"SID103904811";"CN1CCN(Cc2ccc3c(c2)Cc2c(-c4csc(C#CCOCC5CC5)c4)n[nH]c2-3)CC1";"Ki";"'='";"0.3981";"nM";"9.40";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1994977";"";"0";"499.62";"1";"5.47";"SID103904840";"CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCCCCO)c2)n1";"Ki";"'>'";"3981.07";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL223460";"";"0";"466.91";"0";"2.96";"SID103905152";"CS(=O)(=O)Nc1cc2c(cc1Cl)NC(=O)Nc1cnc(C#N)c(n1)OCCCCCO2";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1988838";"";"0";"428.47";"0";"1.78";"SID103904596";"Cc1cnc(Nc2cccc(S(N)(=O)=O)c2)nc1Nc1ccc(OCC(N)=O)cc1";"Ki";"'='";"79.43";"nM";"7.10";"";"active";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1986503";"";"0";"206.60";"0";"0.72";"SID103905561";"Clc1ccc2c(c1)nnc1nnnn12";"Ki";"'>'";"3981.07";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1972362";"";"0";"332.41";"0";"2.47";"SID103905047";"CS(=O)(=O)c1ccc(-c2cncc3sc(C(N)=O)cc23)cc1";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL1984633";"";"0";"339.42";"0";"3.70";"SID103904908";"COc1cccc(C(C)NC(=O)c2cnc(-c3ccncc3)s2)c1";"Ki";"'>'";"398.11";"nM";"";"";"inactive";"UO_0000065";"";"";"";"";"False";"CHEMBL1963826";"PUBCHEM_BIOASSAY: Navigating the Kinome. (Class of assay: other) Panel member name: FLT1";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1201862";"7";"PubChem BioAssays";"";"";"None";""
"CHEMBL258694";"";"0";"374.41";"0";"3.83";"12";"Cc1nnc(-c2cn3ncnc(Nc4cnc5[nH]ccc5c4)c3c2C(C)C)o1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL929423";"Inhibition of VEGFR1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145598";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2008";"None";""
"CHEMBL1908395";"";"0";"497.04";"0";"3.76";"JNJ-28312141";"CN(C)CC(=O)N1CCC(c2ccc(NC(=O)c3nc(C#N)c[nH]3)c(C3=CCCCC3)c2)CC1.Cl";"Kd";"'='";"53.0";"nM";"7.28";"";"";"UO_0000065";"15.80";"0.29";"3.52";"6.92";"False";"CHEMBL1908550";"Binding constant for FLT1 kinase domain";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1868";"Vascular endothelial growth factor receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1908390";"1";"Scientific Literature";"Nat. Biotechnol.";"2011";"None";""
